index,int8,hex,mV
0,106,6a,1.617481
1,97,61,1.480148
2,-98,9e,-1.495407
3,-78,b2,-1.190222
4,99,63,1.510666
5,93,5d,1.419111
6,93,5d,1.419111
7,-89,a7,-1.358074
8,-69,bb,-1.052889
9,95,5f,1.449629
10,82,52,1.251259
11,90,5a,1.373333
12,-79,b1,-1.205481
13,-60,c4,-0.915555
14,89,59,1.358074
15,72,48,1.098666
16,86,56,1.312296
17,-73,b7,-1.113926
18,-53,cb,-0.808741
19,90,5a,1.373333
20,63,3f,0.961333
21,86,56,1.312296
22,-62,c2,-0.946074
23,-44,d4,-0.671407
24,88,58,1.342814
25,55,37,0.839259
26,85,55,1.297037
27,-55,c9,-0.839259
28,-39,d9,-0.595111
29,83,53,1.266518
30,48,30,0.732444
31,78,4e,1.190222
32,-56,c8,-0.854518
33,-35,dd,-0.534074
34,81,51,1.236
35,41,29,0.625629
36,80,50,1.22074
37,-45,d3,-0.686666
38,-28,e4,-0.427259
39,81,51,1.236
40,35,23,0.534074
41,80,50,1.22074
42,-38,da,-0.579852
43,-22,ea,-0.335704
44,77,4d,1.174963
45,30,1e,0.457778
46,74,4a,1.129185
47,-40,d8,-0.61037
48,-20,ec,-0.305185
49,77,4d,1.174963
50,25,19,0.381481
51,76,4c,1.159703
52,-31,e1,-0.473037
53,-14,f2,-0.21363
54,77,4d,1.174963
55,21,15,0.320444
56,76,4c,1.159703
57,-27,e5,-0.412
58,-11,f5,-0.167852
59,73,49,1.113926
60,17,11,0.259407
61,70,46,1.068148
62,-31,e1,-0.473037
63,-11,f5,-0.167852
64,72,48,1.098666
65,13,0d,0.19837
66,73,49,1.113926
67,-21,eb,-0.320444
68,-5,fb,-0.076296
69,72,48,1.098666
70,10,0a,0.152593
71,74,4a,1.129185
72,-17,ef,-0.259407
73,-2,fe,-0.030519
74,71,47,1.083407
75,7,07,0.106815
76,67,43,1.02237
77,-23,e9,-0.350963
78,-4,fc,-0.061037
79,68,44,1.037629
80,4,04,0.061037
81,72,48,1.098666
82,-14,f2,-0.21363
83,1,01,0.015259
84,69,45,1.052889
85,2,02,0.030519
86,72,48,1.098666
87,-11,f5,-0.167852
88,2,02,0.030519
89,67,43,1.02237
90,0,00,0
91,67,43,1.02237
92,-16,f0,-0.244148
93,1,01,0.015259
94,66,42,1.007111
95,-2,fe,-0.030519
96,70,46,1.068148
97,-9,f7,-0.137333
98,5,05,0.076296
99,66,42,1.007111
100,-3,fd,-0.045778
101,71,47,1.083407
102,-8,f8,-0.122074
103,1,01,0.015259
104,57,39,0.869778
105,-5,fb,-0.076296
106,66,42,1.007111
107,-10,f6,-0.152593
108,5,05,0.076296
109,64,40,0.976592
110,-7,f9,-0.106815
111,68,44,1.037629
112,-6,fa,-0.091556
113,8,08,0.122074
114,64,40,0.976592
115,-8,f8,-0.122074
116,68,44,1.037629
117,-8,f8,-0.122074
118,0,00,0
119,47,2f,0.717185
120,-9,f7,-0.137333
121,76,4c,1.159703
122,15,0f,0.228889
123,6,06,0.091556
124,59,3b,0.900296
125,-10,f6,-0.152593
126,72,48,1.098666
127,2,02,0.030519
128,9,09,0.137333
129,62,3e,0.946074
130,-11,f5,-0.167852
131,72,48,1.098666
132,2,02,0.030519
133,6,06,0.091556
134,53,35,0.808741
135,-11,f5,-0.167852
136,60,3c,0.915555
137,-9,f7,-0.137333
138,10,0a,0.152593
139,63,3f,0.961333
140,-12,f4,-0.183111
141,64,40,0.976592
142,-4,fc,-0.061037
143,12,0c,0.183111
144,63,3f,0.961333
145,-13,f3,-0.19837
146,74,4a,1.129185
147,12,0c,0.183111
148,-8,f8,-0.122074
149,22,16,0.335704
150,-14,f2,-0.21363
151,-1,ff,-0.015259
152,-8,f8,-0.122074
153,-13,f3,-0.19837
154,-99,9d,-1.510666
155,-108,94,-1.648
156,-108,94,-1.648
157,-16,f0,-0.244148
158,-22,ea,-0.335704
159,-104,98,-1.586962
160,-108,94,-1.648
161,-108,94,-1.648
162,-22,ea,-0.335704
163,-29,e3,-0.442518
164,-8,f8,-0.122074
165,-63,c1,-0.961333
166,-99,9d,-1.510666
167,-21,eb,-0.320444
168,-33,df,-0.503555
169,13,0d,0.19837
170,4,04,0.061037
171,-12,f4,-0.183111
172,-19,ed,-0.289926
173,-32,e0,-0.488296
174,58,3a,0.885037
175,2,02,0.030519
176,23,17,0.350963
177,-17,ef,-0.259407
